#1
double data(8760,4)
#Time [s], Belpex electricity price [Euro/MWh], Dynamic consumer price [Euro/MWh], Dynamic injection price [Euro/MWh]
0, 0.100000, 95.531800, 0.000000
3600, 0.100000, 95.531800, 0.000000
7200, 0.010000, 95.440000, 0.000000
10800, 0.000000, 95.429800, 0.000000
14400, -0.010000, 95.419600, 0.000000
18000, -0.030000, 95.399200, 0.000000
21600, -0.020000, 95.409400, 0.000000
25200, -0.050000, 95.378800, 0.000000
28800, -0.020000, 95.409400, 0.000000
32400, 0.000000, 95.429800, 0.000000
36000, 0.040000, 95.470600, 0.000000
39600, 0.060000, 95.491000, 0.000000
43200, 0.540000, 95.980600, 0.000000
46800, 2.240000, 97.714600, 0.000000
50400, 2.000000, 97.469800, 0.000000
54000, 1.350000, 96.806800, 0.000000
57600, 4.129999, 99.642399, 0.000000
61200, 27.960001, 123.949001, 10.649801
64800, 50.370012, 146.807212, 32.611612
68400, 53.759988, 150.264988, 35.933788
72000, 56.769984, 153.335184, 38.883584
75600, 51.400008, 147.857808, 33.621008
79200, 35.390002, 131.527602, 17.931202
82800, 40.740012, 136.984612, 23.174212
86400, 35.550000, 131.690800, 18.088000
90000, 23.919998, 119.828198, 6.690598
93600, 17.700001, 113.483801, 0.595001
97200, 12.390001, 108.067601, 0.000000
100800, 7.350001, 102.926801, 0.000000
104400, 4.190000, 99.703600, 0.000000
108000, 4.749998, 100.274798, 0.000000
111600, 31.590000, 127.651600, 14.207200
115200, 49.960008, 146.389008, 32.209808
118800, 58.460004, 155.059004, 40.539804
122400, 59.050008, 155.660808, 41.118008
126000, 68.649984, 165.452784, 50.525984
129600, 74.180016, 171.093416, 55.945416
133200, 65.019996, 161.750196, 46.968596
136800, 64.710000, 161.434000, 46.664800
140400, 66.740004, 163.504604, 48.654204
144000, 64.429992, 161.148392, 46.390392
147600, 65.040012, 161.770612, 46.988212
151200, 73.850004, 170.756804, 55.622004
154800, 66.620016, 163.382216, 48.536616
158400, 64.360008, 161.077008, 46.321808
162000, 60.000012, 156.629812, 42.049012
165600, 49.500000, 145.919800, 31.759000
169200, 44.190000, 140.503600, 26.555200
172800, 26.830001, 122.796401, 9.542401
176400, 0.000000, 95.429800, 0.000000
180000, -1.230000, 94.175200, 0.000000
183600, -1.260000, 94.144600, 0.000000
187200, -1.310000, 94.093600, 0.000000
190800, -1.390000, 94.012000, 0.000000
194400, -1.260000, 94.144600, 0.000000
198000, 2.580000, 98.061400, 0.000000
201600, 40.799988, 137.045788, 23.232988
205200, 62.560008, 159.241008, 44.557808
208800, 67.389984, 164.167584, 49.291184
212400, 62.920008, 159.608208, 44.910608
216000, 58.839984, 155.446584, 40.912184
219600, 55.940004, 152.488604, 38.070204
223200, 56.180016, 152.733416, 38.305416
226800, 60.909984, 157.557984, 42.940784
230400, 68.720004, 165.524204, 50.594604
234000, 71.560008, 168.421008, 53.377808
237600, 85.719996, 182.864196, 67.254596
241200, 92.379996, 189.657396, 73.781396
244800, 86.069988, 183.221188, 67.597588
248400, 73.230012, 170.124412, 55.014412
252000, 67.410000, 164.188000, 49.310800
255600, 65.000016, 161.729816, 46.949016
259200, 58.119984, 154.712184, 40.206584
262800, 57.300012, 153.875812, 39.403012
266400, 50.460012, 146.899012, 32.699812
270000, 39.999996, 136.229796, 22.448996
273600, 25.480001, 121.419401, 8.219401
277200, 34.999999, 131.129799, 17.548999
280800, 57.729996, 154.314396, 39.824396
284400, 72.650016, 169.532816, 54.446016
288000, 85.020012, 182.150212, 66.568612
291600, 91.469988, 188.729188, 72.889588
295200, 94.200012, 191.513812, 75.565012
298800, 91.590012, 188.851612, 73.007212
302400, 90.000000, 187.229800, 71.449000
306000, 86.259996, 183.414996, 67.783796
309600, 85.960008, 183.109008, 67.489808
313200, 92.109996, 189.381996, 73.516796
316800, 98.619984, 196.022184, 79.896584
320400, 101.930004, 199.398404, 83.140404
324000, 121.219992, 219.074192, 102.044592
327600, 129.279996, 227.295396, 109.943396
331200, 110.949984, 208.598784, 91.979984
334800, 96.940008, 194.308608, 78.250208
338400, 88.499988, 185.699788, 69.978988
342000, 85.070016, 182.201216, 66.617616
345600, 87.670008, 184.853208, 69.165608
349200, 86.079996, 183.231396, 67.607396
352800, 80.510004, 177.550004, 62.148804
356400, 77.010012, 173.980012, 58.718812
360000, 71.700012, 168.563812, 53.515012
363600, 66.340008, 163.096608, 48.262208
367200, 71.420004, 168.278204, 53.240604
370800, 77.299992, 174.275792, 59.002992
374400, 87.599988, 184.781788, 69.096988
378000, 90.140004, 187.372604, 71.586204
381600, 95.119992, 192.452192, 76.466592
385200, 96.320016, 193.676216, 77.642616
388800, 98.229996, 195.624396, 79.514396
392400, 92.400012, 189.677812, 73.801012
396000, 91.919988, 189.188188, 73.330588
399600, 96.869988, 194.237188, 78.181588
403200, 100.460016, 197.899016, 81.699816
406800, 103.330008, 200.826408, 84.512408
410400, 107.650008, 205.232808, 88.746008
414000, 108.579996, 206.181396, 89.657396
417600, 104.150016, 201.662816, 85.316016
421200, 100.280016, 197.715416, 81.523416
424800, 94.290012, 191.605612, 75.653212
428400, 94.920012, 192.248212, 76.270612
432000, 86.799996, 183.965796, 68.312996
435600, 82.249992, 179.324792, 63.853992
439200, 80.200008, 177.233808, 61.845008
442800, 76.129992, 173.082392, 57.856392
446400, 73.010016, 169.900016, 54.798816
450000, 73.010016, 169.900016, 54.798816
453600, 74.589984, 171.511584, 56.347184
457200, 75.099996, 172.031796, 56.846996
460800, 81.389988, 178.447588, 63.011188
464400, 88.400016, 185.597816, 69.881016
468000, 92.229984, 189.504384, 73.634384
471600, 97.300008, 194.675808, 78.603008
475200, 100.419984, 197.858184, 81.660584
478800, 99.159984, 196.572984, 80.425784
482400, 92.199996, 189.473796, 73.604996
486000, 92.109996, 189.381996, 73.516796
489600, 90.420012, 187.658212, 71.860612
493200, 91.329984, 188.586384, 72.752384
496800, 104.410008, 201.928008, 85.570808
500400, 103.629996, 201.132396, 84.806396
504000, 99.000000, 196.409800, 80.269000
507600, 92.139984, 189.412584, 73.546184
511200, 87.999984, 185.189784, 69.488984
514800, 86.569992, 183.731192, 68.087592
518400, 79.869996, 176.897196, 61.521596
522000, 84.080016, 181.191416, 65.647416
525600, 79.819992, 176.846192, 61.472592
529200, 76.759992, 173.724992, 58.473792
532800, 73.460016, 170.359016, 55.239816
536400, 71.859996, 168.726996, 53.671796
540000, 72.079992, 168.951392, 53.887392
543600, 74.900016, 171.827816, 56.651016
547200, 77.690016, 174.673616, 59.385216
550800, 81.789984, 178.855584, 63.403184
554400, 84.859992, 181.986992, 66.411792
558000, 87.140016, 184.312616, 68.646216
561600, 89.129988, 186.342388, 70.596388
565200, 88.660008, 185.863008, 70.135808
568800, 84.809988, 181.935988, 66.362788
572400, 84.340008, 181.456608, 65.902208
576000, 88.009992, 185.199992, 69.498792
579600, 93.420000, 190.718200, 74.800600
583200, 101.769984, 199.235184, 82.983584
586800, 104.850000, 202.376800, 86.002000
590400, 103.550004, 201.050804, 84.728004
594000, 100.500012, 197.939812, 81.739012
597600, 93.309984, 190.605984, 74.692784
601200, 91.170000, 188.423200, 72.595600
604800, 83.859984, 180.966984, 65.431784
608400, 87.030000, 184.200400, 68.538400
612000, 84.300012, 181.415812, 65.863012
615600, 81.690012, 178.753612, 63.305212
619200, 78.969996, 175.979196, 60.639596
622800, 78.459984, 175.458984, 60.139784
626400, 82.100016, 179.171816, 63.707016
