#1 
double data(8760,5) 
#Time [s], Emission intensity [kgCO2eq/J], Emission intensity daily average [kgCO2eq/J], Emission intensity weekly average [kgCO2eq/J], Emission intensity yearly median [kgCO2eq/J]
0,1.842366e-08,1.831292e-08,1.590137e-08,1.304167e-08
3600,1.854796e-08,1.831292e-08,1.590137e-08,1.304167e-08
7200,1.77323e-08,1.831292e-08,1.590137e-08,1.304167e-08
10800,1.777563e-08,1.831292e-08,1.590137e-08,1.304167e-08
14400,1.841702e-08,1.831292e-08,1.590137e-08,1.304167e-08
18000,1.758621e-08,1.831292e-08,1.590137e-08,1.304167e-08
21600,1.768548e-08,1.831292e-08,1.590137e-08,1.304167e-08
25200,1.881505e-08,1.831292e-08,1.590137e-08,1.304167e-08
28800,2.005091e-08,1.831292e-08,1.590137e-08,1.304167e-08
32400,1.974033e-08,1.831292e-08,1.590137e-08,1.304167e-08
36000,1.883585e-08,1.831292e-08,1.590137e-08,1.304167e-08
39600,1.785276e-08,1.831292e-08,1.590137e-08,1.304167e-08
43200,1.757798e-08,1.831292e-08,1.590137e-08,1.304167e-08
46800,1.768059e-08,1.831292e-08,1.590137e-08,1.304167e-08
50400,1.792622e-08,1.831292e-08,1.590137e-08,1.304167e-08
54000,1.87134e-08,1.831292e-08,1.590137e-08,1.304167e-08
57600,1.977305e-08,1.831292e-08,1.590137e-08,1.304167e-08
61200,1.908069e-08,1.831292e-08,1.590137e-08,1.304167e-08
64800,1.897321e-08,1.831292e-08,1.590137e-08,1.304167e-08
68400,1.89388e-08,1.831292e-08,1.590137e-08,1.304167e-08
72000,1.797263e-08,1.831292e-08,1.590137e-08,1.304167e-08
75600,1.693898e-08,1.831292e-08,1.590137e-08,1.304167e-08
79200,1.67378e-08,1.831292e-08,1.590137e-08,1.304167e-08
82800,1.773363e-08,1.831292e-08,1.590137e-08,1.304167e-08
86400,1.826481e-08,1.815264e-08,1.590137e-08,1.304167e-08
90000,1.857443e-08,1.815264e-08,1.590137e-08,1.304167e-08
93600,1.94657e-08,1.815264e-08,1.590137e-08,1.304167e-08
97200,1.844317e-08,1.815264e-08,1.590137e-08,1.304167e-08
100800,1.756678e-08,1.815264e-08,1.590137e-08,1.304167e-08
104400,1.870747e-08,1.815264e-08,1.590137e-08,1.304167e-08
108000,1.973225e-08,1.815264e-08,1.590137e-08,1.304167e-08
111600,1.918197e-08,1.815264e-08,1.590137e-08,1.304167e-08
115200,1.82434e-08,1.815264e-08,1.590137e-08,1.304167e-08
118800,1.817745e-08,1.815264e-08,1.590137e-08,1.304167e-08
122400,1.79815e-08,1.815264e-08,1.590137e-08,1.304167e-08
126000,1.797409e-08,1.815264e-08,1.590137e-08,1.304167e-08
129600,1.772253e-08,1.815264e-08,1.590137e-08,1.304167e-08
133200,1.77667e-08,1.815264e-08,1.590137e-08,1.304167e-08
136800,1.748914e-08,1.815264e-08,1.590137e-08,1.304167e-08
140400,1.758821e-08,1.815264e-08,1.590137e-08,1.304167e-08
144000,1.803124e-08,1.815264e-08,1.590137e-08,1.304167e-08
147600,1.814475e-08,1.815264e-08,1.590137e-08,1.304167e-08
151200,1.75358e-08,1.815264e-08,1.590137e-08,1.304167e-08
154800,1.681119e-08,1.815264e-08,1.590137e-08,1.304167e-08
158400,1.737054e-08,1.815264e-08,1.590137e-08,1.304167e-08
162000,1.754307e-08,1.815264e-08,1.590137e-08,1.304167e-08
165600,1.84407e-08,1.815264e-08,1.590137e-08,1.304167e-08
169200,1.890649e-08,1.815264e-08,1.590137e-08,1.304167e-08
172800,1.922939e-08,1.752871e-08,1.590137e-08,1.304167e-08
176400,1.892425e-08,1.752871e-08,1.590137e-08,1.304167e-08
180000,1.851033e-08,1.752871e-08,1.590137e-08,1.304167e-08
183600,1.842939e-08,1.752871e-08,1.590137e-08,1.304167e-08
187200,1.854916e-08,1.752871e-08,1.590137e-08,1.304167e-08
190800,1.833259e-08,1.752871e-08,1.590137e-08,1.304167e-08
194400,1.731697e-08,1.752871e-08,1.590137e-08,1.304167e-08
198000,1.916755e-08,1.752871e-08,1.590137e-08,1.304167e-08
201600,1.906338e-08,1.752871e-08,1.590137e-08,1.304167e-08
205200,1.92317e-08,1.752871e-08,1.590137e-08,1.304167e-08
208800,1.924407e-08,1.752871e-08,1.590137e-08,1.304167e-08
212400,1.893985e-08,1.752871e-08,1.590137e-08,1.304167e-08
216000,1.905863e-08,1.752871e-08,1.590137e-08,1.304167e-08
219600,1.89855e-08,1.752871e-08,1.590137e-08,1.304167e-08
223200,1.79121e-08,1.752871e-08,1.590137e-08,1.304167e-08
226800,1.700961e-08,1.752871e-08,1.590137e-08,1.304167e-08
230400,1.587231e-08,1.752871e-08,1.590137e-08,1.304167e-08
234000,1.649601e-08,1.752871e-08,1.590137e-08,1.304167e-08
237600,1.635264e-08,1.752871e-08,1.590137e-08,1.304167e-08
241200,1.524355e-08,1.752871e-08,1.590137e-08,1.304167e-08
244800,1.434537e-08,1.752871e-08,1.590137e-08,1.304167e-08
