#1 
double data(9504,6) 
#Time [s], Belpex electricity price [Euro/J], Dynamic consumer price [Euro/J], Dynamic consumer price daily average [Euro/J], Dynamic consumer price weekly average [Euro/J], Dynamic consumer price yearly median [Euro/J]
0,1.413056e-08,6.135278e-08,6.06662e-08,6.312646e-08,6.944444e-08
3600,1.338611e-08,6.060833e-08,6.06662e-08,6.312646e-08,6.944444e-08
7200,1.241111e-08,5.963333e-08,6.06662e-08,6.312646e-08,6.944444e-08
10800,1.192222e-08,5.914444e-08,6.06662e-08,6.312646e-08,6.944444e-08
14400,1.121944e-08,5.844167e-08,6.06662e-08,6.312646e-08,6.944444e-08
18000,1.116667e-08,5.838889e-08,6.06662e-08,6.312646e-08,6.944444e-08
21600,1.100833e-08,5.823056e-08,6.06662e-08,6.312646e-08,6.944444e-08
25200,1.113611e-08,5.835833e-08,6.06662e-08,6.312646e-08,6.944444e-08
28800,1.146389e-08,5.868611e-08,6.06662e-08,6.312646e-08,6.944444e-08
32400,1.246667e-08,5.968889e-08,6.06662e-08,6.312646e-08,6.944444e-08
36000,1.25e-08,5.972222e-08,6.06662e-08,6.312646e-08,6.944444e-08
39600,1.311111e-08,6.033333e-08,6.06662e-08,6.312646e-08,6.944444e-08
43200,1.410556e-08,6.132778e-08,6.06662e-08,6.312646e-08,6.944444e-08
46800,1.263611e-08,5.985833e-08,6.06662e-08,6.312646e-08,6.944444e-08
50400,1.2425e-08,5.964722e-08,6.06662e-08,6.312646e-08,6.944444e-08
54000,1.294167e-08,6.016389e-08,6.06662e-08,6.312646e-08,6.944444e-08
57600,1.471944e-08,6.194167e-08,6.06662e-08,6.312646e-08,6.944444e-08
61200,1.673889e-08,6.396111e-08,6.06662e-08,6.312646e-08,6.944444e-08
64800,1.683611e-08,6.405833e-08,6.06662e-08,6.312646e-08,6.944444e-08
68400,1.676667e-08,6.398889e-08,6.06662e-08,6.312646e-08,6.944444e-08
72000,1.594444e-08,6.316667e-08,6.06662e-08,6.312646e-08,6.944444e-08
75600,1.496111e-08,6.218333e-08,6.06662e-08,6.312646e-08,6.944444e-08
79200,1.484722e-08,6.206944e-08,6.06662e-08,6.312646e-08,6.944444e-08
82800,1.381111e-08,6.103333e-08,6.06662e-08,6.312646e-08,6.944444e-08
86400,1.296944e-08,6.019167e-08,6.126736e-08,6.312646e-08,6.944444e-08
90000,1.178611e-08,5.900833e-08,6.126736e-08,6.312646e-08,6.944444e-08
93600,1.141389e-08,5.863611e-08,6.126736e-08,6.312646e-08,6.944444e-08
97200,1.111111e-08,5.833333e-08,6.126736e-08,6.312646e-08,6.944444e-08
100800,1.043056e-08,5.765278e-08,6.126736e-08,6.312646e-08,6.944444e-08
104400,1.083333e-08,5.805556e-08,6.126736e-08,6.312646e-08,6.944444e-08
108000,1.169167e-08,5.891389e-08,6.126736e-08,6.312646e-08,6.944444e-08
111600,1.248889e-08,5.971111e-08,6.126736e-08,6.312646e-08,6.944444e-08
115200,1.345833e-08,6.068056e-08,6.126736e-08,6.312646e-08,6.944444e-08
118800,1.444444e-08,6.166667e-08,6.126736e-08,6.312646e-08,6.944444e-08
122400,1.444444e-08,6.166667e-08,6.126736e-08,6.312646e-08,6.944444e-08
126000,1.448611e-08,6.170833e-08,6.126736e-08,6.312646e-08,6.944444e-08
129600,1.554167e-08,6.276389e-08,6.126736e-08,6.312646e-08,6.944444e-08
133200,1.444444e-08,6.166667e-08,6.126736e-08,6.312646e-08,6.944444e-08
136800,1.408056e-08,6.130278e-08,6.126736e-08,6.312646e-08,6.944444e-08
140400,1.484722e-08,6.206944e-08,6.126736e-08,6.312646e-08,6.944444e-08
144000,1.666389e-08,6.388611e-08,6.126736e-08,6.312646e-08,6.944444e-08
147600,1.722222e-08,6.444444e-08,6.126736e-08,6.312646e-08,6.944444e-08
151200,1.752222e-08,6.474444e-08,6.126736e-08,6.312646e-08,6.944444e-08
154800,1.726944e-08,6.449167e-08,6.126736e-08,6.312646e-08,6.944444e-08
158400,1.6675e-08,6.389722e-08,6.126736e-08,6.312646e-08,6.944444e-08
162000,1.528611e-08,6.250833e-08,6.126736e-08,6.312646e-08,6.944444e-08
165600,1.451389e-08,6.173611e-08,6.126736e-08,6.312646e-08,6.944444e-08
169200,1.345833e-08,6.068056e-08,6.126736e-08,6.312646e-08,6.944444e-08
172800,1.280833e-08,6.003056e-08,5.917373e-08,6.312646e-08,6.944444e-08
176400,1.194444e-08,5.916667e-08,5.917373e-08,6.312646e-08,6.944444e-08
180000,1.098611e-08,5.820833e-08,5.917373e-08,6.312646e-08,6.944444e-08
183600,1.073056e-08,5.795278e-08,5.917373e-08,6.312646e-08,6.944444e-08
187200,1.020556e-08,5.742778e-08,5.917373e-08,6.312646e-08,6.944444e-08
