#1 
double data(35040,10) 
#Time [s], Active power [W], Reactive power [W], Radiative heat gains [W], Convective heat gains [W], Hot water demand [l/min], Occupancy [# people awake], Occupancy [# people asleep], Setpoint SH DayZone [K], Setpoint SH NightZone [K]
0,471,0,244,246,0.4,1,3,289.15,291.15
900,262,0,152,107,0,1,3,289.15,291.15
1800,262,0,152,107,0.13,1,3,289.15,291.15
2700,262,0,152,107,0.13,1,3,289.15,291.15
3600,761,0,265,502,0,1,3,289.15,291.15
4500,604,0,308,328,0,1,3,289.15,291.15
5400,814,0,240,581,0.13,1,3,289.15,291.15
6300,50,0,31,16,0,0,3,289.15,291.15
7200,50,0,31,16,0,0,3,289.15,291.15
8100,50,0,31,16,0,0,3,289.15,291.15
9000,269,0,131,156,0,0,3,289.15,291.15
9900,332,0,160,197,0,0,3,289.15,291.15
10800,91,0,50,43,0,0,3,289.15,291.15
11700,50,0,31,16,0,0,3,289.15,291.15
12600,50,0,31,16,0,0,3,289.15,291.15
13500,126,0,66,65,0,0,3,289.15,291.15
14400,312,0,152,184,0,0,3,289.15,291.15
15300,243,0,120,140,0,0,3,289.15,291.15
16200,60,0,36,23,0,0,3,289.15,291.15
17100,50,0,31,16,0,0,3,289.15,291.15
18000,50,0,31,16,0,0,3,289.15,291.15
18900,215,0,107,122,0,0,3,289.15,291.15
19800,293,0,143,172,0,0,3,289.15,291.15
20700,184,0,93,102,0,0,3,289.15,291.15
21600,50,0,31,16,0,0,3,293.15,289.15
22500,50,0,31,16,0,0,3,293.15,289.15
23400,692,0,176,520,0,1,2,293.15,289.15
24300,357,0,183,191,0,1,2,293.15,289.15
25200,411,0,213,214,0.07,1,2,293.15,289.15
26100,442,0,248,202,0.93,2,2,293.15,289.15
27000,250,0,141,106,0,3,1,293.15,289.15
27900,250,0,141,106,8.4,3,1,293.15,289.15
28800,535,0,233,314,0,3,1,293.15,289.15
29700,814,0,285,542,0,3,1,293.15,289.15
30600,459,0,253,219,0.13,3,1,293.15,289.15
31500,388,0,220,172,1,3,1,293.15,289.15
32400,297,0,178,117,0,3,1,289.15,289.15
33300,332,0,193,141,0.4,4,0,289.15,289.15
34200,1220,0,348,727,0.07,3,0,289.15,289.15
35100,743,0,180,267,0,3,0,289.15,289.15
36000,1169,0,258,621,0,3,0,289.15,289.15
36900,744,0,197,245,0.07,1,0,289.15,289.15
37800,615,0,119,189,0,1,0,289.15,289.15
38700,848,0,248,308,0.13,2,0,289.15,289.15
39600,739,0,173,277,0,2,0,289.15,289.15
40500,647,0,130,218,0.8,2,0,289.15,289.15
41400,2710,0,505,1915,0.13,2,0,289.15,289.15
42300,2707,0,462,1939,0.27,2,0,289.15,289.15
43200,754,0,138,313,0,2,0,289.15,289.15
44100,570,0,224,241,0.8,3,0,289.15,289.15
45000,509,0,314,200,0.13,3,0,289.15,289.15
45900,830,0,324,514,0,3,0,289.15,289.15
46800,1002,0,368,645,0,3,0,289.15,289.15
47700,315,0,198,115,0.8,3,0,289.15,289.15
48600,386,0,222,174,0,3,0,289.15,289.15
49500,495,0,284,226,0,3,0,289.15,289.15
50400,350,0,224,123,0.13,2,0,289.15,289.15
51300,549,0,327,233,1.2,2,0,289.15,289.15
52200,559,0,342,225,0.8,2,0,289.15,289.15
53100,451,0,279,172,0.07,2,0,289.15,289.15
54000,614,0,352,278,0,2,0,289.15,289.15
54900,469,0,270,205,0,2,0,289.15,289.15
55800,676,0,229,446,0.13,2,0,289.15,289.15
56700,454,0,254,213,0,2,0,289.15,289.15
57600,354,0,203,155,0,2,0,289.15,289.15
58500,399,0,225,182,0,2,0,289.15,289.15
59400,1049,0,380,685,0.93,2,0,289.15,289.15
60300,814,0,327,484,0.07,2,0,289.15,289.15
61200,856,0,346,510,0.07,2,0,293.15,293.15
62100,569,0,331,251,0.2,3,0,293.15,293.15
63000,435,0,254,184,0.07,3,0,293.15,293.15
63900,440,0,228,228,0.4,3,0,293.15,293.15
64800,488,0,285,210,0,3,0,293.15,293.15
65700,2701,0,1341,1358,0.13,4,0,293.15,293.15
66600,1553,0,782,776,0,4,0,293.15,293.15
67500,933,0,439,506,0.87,4,0,293.15,293.15
68400,914,0,435,487,1.6,4,0,293.15,293.15
69300,725,0,426,316,0.6,4,0,293.15,293.15
70200,548,0,344,203,0.13,4,0,293.15,293.15
71100,646,0,412,231,0.4,4,0,293.15,293.15
72000,905,0,431,482,0.07,5,0,293.15,293.15
72900,1633,0,513,908,0.2,4,0,293.15,293.15
73800,1130,0,426,417,0,4,0,293.15,293.15
74700,1054,0,391,369,0.27,3,0,293.15,293.15
75600,932,0,330,295,0.2,3,0,293.15,293.15
76500,940,0,338,296,0.07,4,0,293.15,293.15
77400,1474,0,468,713,0.8,4,0,293.15,293.15
78300,1132,0,426,419,1.07,3,1,293.15,293.15
79200,1130,0,426,417,0.4,2,2,289.15,291.15
80100,965,0,350,312,0.8,2,2,289.15,291.15
81000,1311,0,429,698,0.07,2,2,289.15,291.15
81900,433,0,269,162,0,1,3,289.15,291.15
82800,369,0,221,161,0,0,4,289.15,291.15
83700,464,0,264,222,0,0,4,289.15,291.15
84600,260,0,153,117,0,0,4,289.15,291.15
85500,60,0,40,17,0,0,4,289.15,291.15
86400,50,0,31,16,0,0,4,289.15,291.15
87300,91,0,50,43,0,0,4,289.15,291.15
88200,281,0,137,164,0,0,4,289.15,291.15
89100,281,0,137,164,0,0,4,289.15,291.15
90000,88,0,48,41,0,0,4,289.15,291.15
90900,50,0,31,16,0,0,4,289.15,291.15
91800,50,0,31,16,0,0,4,289.15,291.15
92700,122,0,64,63,0,0,4,289.15,291.15
93600,370,0,178,221,0,0,4,289.15,291.15
94500,200,0,100,112,0,0,4,289.15,291.15
95400,50,0,31,16,0,0,4,289.15,291.15
96300,50,0,31,16,0,0,4,289.15,291.15
97200,50,0,31,16,0,0,4,289.15,291.15
98100,217,0,108,123,0,0,4,289.15,291.15
99000,374,0,180,224,0,0,4,289.15,291.15
99900,101,0,54,49,0,0,4,289.15,291.15
100800,50,0,31,16,0,0,4,289.15,291.15
101700,50,0,31,16,0,0,4,289.15,291.15
102600,50,0,31,16,0,0,4,289.15,291.15
103500,336,0,163,200,0,0,4,289.15,291.15
104400,305,0,148,180,0,0,4,289.15,291.15
105300,50,0,31,16,0,0,4,289.15,291.15
106200,50,0,31,16,0,0,4,289.15,291.15
107100,79,0,47,30,0.4,1,4,289.15,291.15
108000,231,0,125,109,0,1,4,289.15,291.15
108900,555,0,278,309,0.2,2,3,289.15,291.15
109800,364,0,192,184,0,2,3,289.15,291.15
110700,250,0,141,106,0.13,2,3,289.15,291.15
111600,250,0,141,106,0.13,2,3,289.15,291.15
112500,250,0,141,106,0,4,1,289.15,291.15
113400,431,0,224,222,0.07,4,1,289.15,291.15
114300,666,0,351,345,0,4,0,289.15,291.15
115200,412,0,239,175,0,3,0,293.15,293.15
116100,382,0,229,150,0.13,2,0,293.15,293.15
117000,403,0,249,151,0,1,0,293.15,293.15
117900,441,0,266,176,0,1,0,293.15,293.15
118800,657,0,364,316,0,1,0,293.15,293.15
119700,513,0,276,257,0.13,2,0,293.15,293.15
120600,285,0,168,115,0,2,0,293.15,293.15
121500,240,0,140,98,0,2,0,293.15,293.15
122400,294,0,177,115,0.93,2,0,293.15,293.15
123300,469,0,267,213,0.13,2,0,293.15,293.15
124200,708,0,380,354,0,2,0,293.15,293.15
125100,1362,0,447,926,0,1,0,293.15,293.15
126000,566,0,276,288,0,2,0,293.15,293.15
126900,472,0,280,189,0,2,0,293.15,293.15
127800,424,0,255,169,0,2,0,293.15,293.15
