#1 
double data(35040,10) 
#Time [s], Active power [W], Reactive power [W], Radiative heat gains [W], Convective heat gains [W], Hot water demand [l/min], Occupancy [# people awake], Occupancy [# people asleep], Setpoint SH DayZone [K], Setpoint SH NightZone [K]
0,46,0,29,15,0,0,3,289.15,291.15
900,46,0,29,15,0,0,3,289.15,291.15
1800,46,0,29,15,0,0,3,289.15,291.15
2700,236,0,117,137,0,0,3,289.15,291.15
3600,147,0,76,80,0,0,3,289.15,291.15
4500,46,0,29,15,0,0,3,289.15,291.15
5400,46,0,29,15,0,0,3,289.15,291.15
6300,46,0,29,15,0,0,3,289.15,291.15
7200,160,0,82,88,0,0,3,289.15,291.15
8100,223,0,111,129,0,0,3,289.15,291.15
9000,46,0,29,15,0,0,3,289.15,291.15
9900,46,0,29,15,0,0,3,289.15,291.15
10800,46,0,29,15,0,0,3,289.15,291.15
11700,84,0,47,40,0,0,3,289.15,291.15
12600,236,0,117,137,0,0,3,289.15,291.15
13500,109,0,58,56,0,0,3,289.15,291.15
14400,46,0,29,15,0,0,3,289.15,291.15
15300,46,0,29,15,0,0,3,289.15,291.15
16200,46,0,29,15,0,0,3,289.15,291.15
17100,198,0,99,113,0,0,3,289.15,291.15
18000,185,0,93,104,0,0,3,289.15,291.15
18900,46,0,29,15,0,0,3,289.15,291.15
19800,46,0,29,15,0,0,3,289.15,291.15
20700,46,0,29,15,0,0,3,289.15,291.15
21600,122,0,64,64,0,0,3,293.15,291.15
22500,236,0,117,137,0,0,3,293.15,291.15
23400,85,0,48,38,0.8,1,2,293.15,291.15
24300,86,0,51,33,0.13,1,2,293.15,291.15
25200,99,0,59,39,0.07,1,2,293.15,289.15
26100,46,0,29,15,0,0,2,293.15,289.15
27000,308,0,156,169,0.27,1,1,293.15,289.15
27900,521,0,180,349,0.8,1,1,293.15,289.15
28800,352,0,147,204,0,1,1,293.15,289.15
29700,126,0,72,52,0,0,1,293.15,289.15
30600,59,0,36,22,0,0,1,293.15,289.15
31500,173,0,88,95,0,0,1,293.15,289.15
32400,229,0,113,131,0,0,1,293.15,289.15
33300,46,0,29,15,0,0,1,293.15,289.15
34200,46,0,29,15,0,0,1,293.15,289.15
35100,46,0,29,15,0,0,1,293.15,289.15
