#1 
double data(35040,10) 
#Time [s], Active power [W], Reactive power [W], Radiative heat gains [W], Convective heat gains [W], Hot water demand [l/min], Occupancy [# people awake], Occupancy [# people asleep], Setpoint SH DayZone [K], Setpoint SH NightZone [K]
0,114,0,61,56,0,0,2,289.15,291.15
900,347,0,167,206,0,0,2,289.15,291.15
1800,164,0,83,89,0,0,2,289.15,291.15
2700,50,0,31,16,0,0,2,289.15,291.15
3600,50,0,31,16,0,0,2,289.15,291.15
4500,112,0,59,56,0,0,2,289.15,291.15
5400,283,0,138,166,0,0,2,289.15,291.15
6300,227,0,112,130,0,0,2,289.15,291.15
7200,50,0,31,16,0,0,2,289.15,291.15
8100,50,0,31,16,0,0,2,289.15,291.15
9000,112,0,59,56,0,0,2,289.15,291.15
9900,220,0,109,125,0,0,2,289.15,291.15
10800,240,0,118,138,0,0,2,289.15,291.15
11700,101,0,54,49,0,0,2,289.15,291.15
12600,50,0,31,16,0,0,2,289.15,291.15
13500,112,0,59,56,0,0,2,289.15,291.15
14400,195,0,97,109,0,0,2,289.15,291.15
15300,202,0,101,114,0,0,2,289.15,291.15
16200,164,0,83,89,0,0,2,289.15,291.15
17100,50,0,31,16,0,1,1,289.15,291.15
18000,237,0,128,112,0.2,1,1,289.15,291.15
18900,395,0,207,199,0.53,1,1,289.15,291.15
19800,339,0,182,163,0.13,1,1,289.15,291.15
20700,427,0,222,220,0,1,1,289.15,291.15
21600,250,0,141,106,0.47,1,1,293.15,291.15
22500,312,0,169,146,0.4,1,1,293.15,291.15
23400,395,0,207,199,0.13,1,1,293.15,291.15
24300,275,0,153,123,0,1,1,293.15,291.15
25200,440,0,228,228,0.07,1,1,293.15,291.15
26100,301,0,164,139,0,1,1,293.15,291.15
27000,117,0,62,58,0,0,1,293.15,291.15
27900,288,0,149,151,0.07,1,1,293.15,291.15
28800,170,0,97,70,0.4,1,1,293.15,289.15
29700,362,0,189,186,0.07,1,1,293.15,289.15
30600,351,0,186,173,0.4,1,1,293.15,289.15
31500,312,0,169,146,0,1,1,293.15,289.15
32400,395,0,207,199,0.07,1,1,293.15,289.15
33300,250,0,141,106,0.07,1,1,293.15,289.15
34200,339,0,182,163,0.2,1,1,293.15,289.15
35100,562,0,208,248,0.2,2,0,293.15,289.15
36000,677,0,147,229,0.07,2,0,293.15,289.15
36900,759,0,185,282,0,1,0,293.15,289.15
37800,615,0,119,189,0.2,1,0,293.15,289.15
